text,label
I do not know if I need the Romanian language certificate,need_and_purpose
Do I actually need this Romanian certificate,need_and_purpose
Can you help me understand whether this certificate is necessary for me,need_and_purpose
Who needs the Romanian language certificate,need_and_purpose
Why would someone need this certificate,need_and_purpose
What is this Romanian certificate used for,need_and_purpose
Is this certificate only for foreign students,need_and_purpose
Can non students also request this certificate,need_and_purpose
I am not a UAIC student can I still use this service,need_and_purpose
Can outside candidates take this Romanian test,need_and_purpose
Is this test only for UAIC students,need_and_purpose
Can EU citizens take this Romanian language test,need_and_purpose
Can non EU citizens take this Romanian language test,need_and_purpose
Can Romanian citizens take this test too,need_and_purpose
I only want official proof of my Romanian level is this the right exam,need_and_purpose
Is this the official Romanian proficiency certificate from UAIC,need_and_purpose
What do I receive after I pass the test,need_and_purpose
Do I get an official certificate after passing,need_and_purpose
Does the university issue an official document after the exam,need_and_purpose
What does the Romanian language exam evaluate,need_and_purpose
What skills are tested in this Romanian exam,need_and_purpose
Does the test check reading writing listening and speaking,need_and_purpose
Are the levels based on CEFR,need_and_purpose
Are the available levels A1 A2 B1 B2 C1 and C2,need_and_purpose
Is this page for anyone who wants to prove Romanian knowledge,need_and_purpose
Can employees also use this testing service,need_and_purpose
I need help but I am not sure what exactly I need,need_and_purpose
I do not know where to start with this procedure,need_and_purpose
I do not know if this certificate matches my situation,need_and_purpose
Before registering I want to know if I really need this certificate,need_and_purpose
Can you explain in simple words what this certificate is for,need_and_purpose
I need guidance because I do not know if I should apply,need_and_purpose
Should I use this service if I only want to prove my level,need_and_purpose
Can this certificate help me show my Romanian level officially,need_and_purpose
I want help understanding the purpose of the Romanian certificate,need_and_purpose
I do not understand why someone would request this test,need_and_purpose
I do not know what Romanian level to choose,level_help
How do I choose the right language level,level_help
Should I choose A1 or A2,level_help
Should I choose B1 or B2,level_help
Should I request B2 or C1,level_help
Which Romanian exam level is right for me,level_help
I am a beginner which level should I choose,level_help
My Romanian is basic what level should I select,level_help
My Romanian is intermediate what level should I select,level_help
My Romanian is advanced what level should I select,level_help
How do I know if I am A2 or B1,level_help
How do I know if I am B1 or B2,level_help
What do the levels A1 A2 B1 B2 C1 C2 mean,level_help
Can you explain the Romanian language levels,level_help
What is the difference between A1 and A2,level_help
What is the difference between B1 and B2,level_help
What is the difference between B2 and C1,level_help
Do I have to choose only one level,level_help
Can I register for two levels at once,level_help
Can I choose more than one level in the application,level_help
What does one single level mean in the instructions,level_help
Which level should I mention in my email,level_help
What level should I request in the application,level_help
Can you help me estimate my current level,level_help
I need help understanding what level I have now,level_help
Can you give me a simple self check for Romanian,level_help
Do you have sample tasks for each level,level_help
Can you show me model questions for A1,level_help
Can you show me model questions for B1,level_help
Can you explain the levels with examples,level_help
What level do I need depending on my reason for the certificate,level_help
I need help deciding what level is required for my purpose,level_help
Which level is suitable for university admission,level_help
If I can speak a little Romanian which level should I pick,level_help
If I can understand daily conversations what level am I,level_help
